Play,Type,PlayerLinenumber,ActSceneLine,Player,PlayerLine
Alls well that ends well,Comedy,44,1.1.173,PAROLLES,"What one, i' faith?"
Alls well that ends well,Comedy,45,1.1.174,HELENA,That I wish well. 'Tis pity--
Alls well that ends well,Comedy,46,1.1.175,PAROLLES,What's pity?
Alls well that ends well,Comedy,47,1.1.176,HELENA,"That wishing well had not a body in't,"
Alls well that ends well,Comedy,47,1.1.177,HELENA,"Which might be felt, that we, the poorer born,"
Alls well that ends well,Comedy,47,1.1.178,HELENA,"Whose baser stars do shut us up in wishes,"
Alls well that ends well,Comedy,47,1.1.179,HELENA,"Might with effects of them follow our friends,"
Alls well that ends well,Comedy,47,1.1.180,HELENA,"And show what we alone must think, which never"
Alls well that ends well,Comedy,47,1.1.181,HELENA,Return us thanks.
Alls well that ends well,Comedy,48,1.1.182,Page,"Monsieur Parolles, my lord calls for you."
Alls well that ends well,Comedy,49,1.1.183,PAROLLES,"Little Helen, farewell, if I can remember thee, I"
Alls well that ends well,Comedy,49,1.1.184,PAROLLES,will think of thee at court.
Alls well that ends well,Comedy,50,1.1.185,HELENA,"Monsieur Parolles, you were born under a charitable star."
Alls well that ends well,Comedy,51,1.1.186,PAROLLES,"Under Mars, I."
Alls well that ends well,Comedy,52,1.1.187,HELENA,"I especially think, under Mars."
Alls well that ends well,Comedy,53,1.1.188,PAROLLES,Why under Mars?
Alls well that ends well,Comedy,54,1.1.189,HELENA,The wars have so kept you under that you must needs
Alls well that ends well,Comedy,54,1.1.190,HELENA,be born under Mars.
Alls well that ends well,Comedy,55,1.1.191,PAROLLES,When he was predominant.
Alls well that ends well,Comedy,56,1.1.192,HELENA,"When he was retrograde, I think, rather."
Alls well that ends well,Comedy,57,1.1.193,PAROLLES,Why think you so?
Alls well that ends well,Comedy,58,1.1.194,HELENA,You go so much backward when you fight.
Alls well that ends well,Comedy,59,1.1.195,PAROLLES,That's for advantage.
Alls well that ends well,Comedy,60,1.1.196,HELENA,"So is running away, when fear proposes the safety,"
Alls well that ends well,Comedy,60,1.1.197,HELENA,but the composition that your valour and fear makes
Alls well that ends well,Comedy,60,1.1.198,HELENA,"in you is a virtue of a good wing, and I like the wear well."
Alls well that ends well,Comedy,61,1.1.199,PAROLLES,"I am so full of businesses, I cannot answer thee"
Alls well that ends well,Comedy,61,1.1.200,PAROLLES,"acutely. I will return perfect courtier, in the"
Alls well that ends well,Comedy,61,1.1.201,PAROLLES,"which, my instruction shall serve to naturalize"
Alls well that ends well,Comedy,61,1.1.202,PAROLLES,"thee, so thou wilt be capable of a courtier's"
Alls well that ends well,Comedy,61,1.1.203,PAROLLES,counsel and understand what advice shall thrust upon
Alls well that ends well,Comedy,61,1.1.204,PAROLLES,"thee, else thou diest in thine unthankfulness, and"
Alls well that ends well,Comedy,61,1.1.205,PAROLLES,thine ignorance makes thee away: farewell. When
Alls well that ends well,Comedy,61,1.1.206,PAROLLES,"thou hast leisure, say thy prayers, when thou hast"
Alls well that ends well,Comedy,61,1.1.207,PAROLLES,"none, remember thy friends, get thee a good husband,"
Alls well that ends well,Comedy,61,1.1.208,PAROLLES,"and use him as he uses thee, so, farewell."
Alls well that ends well,Comedy,62,1.1.209,HELENA,"Our remedies oft in ourselves do lie,"
Alls well that ends well,Comedy,62,1.1.210,HELENA,Which we ascribe to heaven: the fated sky
Alls well that ends well,Comedy,62,1.1.211,HELENA,"Gives us free scope, only doth backward pull"
Alls well that ends well,Comedy,62,1.1.212,HELENA,Our slow designs when we ourselves are dull.
Alls well that ends well,Comedy,62,1.1.213,HELENA,"What power is it which mounts my love so high,"
Alls well that ends well,Comedy,62,1.1.214,HELENA,"That makes me see, and cannot feed mine eye?"
Alls well that ends well,Comedy,62,1.1.215,HELENA,The mightiest space in fortune nature brings
Alls well that ends well,Comedy,62,1.1.216,HELENA,To join like likes and kiss like native things.
Alls well that ends well,Comedy,62,1.1.217,HELENA,Impossible be strange attempts to those
Alls well that ends well,Comedy,62,1.1.218,HELENA,That weigh their pains in sense and do suppose
Alls well that ends well,Comedy,62,1.1.219,HELENA,What hath been cannot be: who ever strove
Alls well that ends well,Comedy,62,1.1.220,HELENA,"So show her merit, that did miss her love?"
Alls well that ends well,Comedy,62,1.1.221,HELENA,"The king's disease--my project may deceive me,"
Alls well that ends well,Comedy,62,1.1.222,HELENA,But my intents are fix'd and will not leave me.
Alls well that ends well,Comedy,1,1.2.1,KING,"The Florentines and Senoys are by the ears,"
Alls well that ends well,Comedy,1,1.2.2,KING,Have fought with equal fortune and continue
Alls well that ends well,Comedy,1,1.2.3,KING,A braving war.
Alls well that ends well,Comedy,2,1.2.4,First Lord,"So 'tis reported, sir."
Alls well that ends well,Comedy,3,1.2.5,KING,"Nay, 'tis most credible, we here received it"
Alls well that ends well,Comedy,3,1.2.6,KING,"A certainty, vouch'd from our cousin Austria,"
Alls well that ends well,Comedy,3,1.2.7,KING,With caution that the Florentine will move us
Alls well that ends well,Comedy,3,1.2.8,KING,"For speedy aid, wherein our dearest friend"
Alls well that ends well,Comedy,3,1.2.9,KING,Prejudicates the business and would seem
Alls well that ends well,Comedy,3,1.2.10,KING,To have us make denial.
Alls well that ends well,Comedy,4,1.2.11,First Lord,"His love and wisdom,"
Alls well that ends well,Comedy,4,1.2.12,First Lord,"Approved so to your majesty, may plead"
Alls well that ends well,Comedy,4,1.2.13,First Lord,For amplest credence.
Alls well that ends well,Comedy,5,1.2.14,KING,"He hath arm'd our answer,"
Alls well that ends well,Comedy,5,1.2.15,KING,And Florence is denied before he comes:
Alls well that ends well,Comedy,5,1.2.16,KING,"Yet, for our gentlemen that mean to see"
Alls well that ends well,Comedy,5,1.2.17,KING,"The Tuscan service, freely have they leave"
Alls well that ends well,Comedy,5,1.2.18,KING,To stand on either part.
Alls well that ends well,Comedy,6,1.2.19,Second Lord,It well may serve
Alls well that ends well,Comedy,6,1.2.20,Second Lord,"A nursery to our gentry, who are sick"
Alls well that ends well,Comedy,6,1.2.21,Second Lord,For breathing and exploit.
Alls well that ends well,Comedy,7,1.2.22,KING,What's he comes here?
Alls well that ends well,Comedy,8,1.2.23,First Lord,"It is the Count Rousillon, my good lord,"
Alls well that ends well,Comedy,8,1.2.24,First Lord,Young Bertram.
Alls well that ends well,Comedy,9,1.2.25,KING,"Youth, thou bear'st thy father's face,"
Alls well that ends well,Comedy,9,1.2.26,KING,"Frank nature, rather curious than in haste,"
Alls well that ends well,Comedy,9,1.2.27,KING,Hath well composed thee. Thy father's moral parts
Alls well that ends well,Comedy,9,1.2.28,KING,Mayst thou inherit too! Welcome to Paris.
Alls well that ends well,Comedy,10,1.2.29,BERTRAM,My thanks and duty are your majesty's.
Alls well that ends well,Comedy,11,1.2.30,KING,"I would I had that corporal soundness now,"
Alls well that ends well,Comedy,11,1.2.31,KING,As when thy father and myself in friendship
Alls well that ends well,Comedy,11,1.2.32,KING,First tried our soldiership! He did look far
Alls well that ends well,Comedy,11,1.2.33,KING,Into the service of the time and was
Alls well that ends well,Comedy,11,1.2.34,KING,"Discipled of the bravest: he lasted long,"
Alls well that ends well,Comedy,11,1.2.35,KING,But on us both did haggish age steal on
Alls well that ends well,Comedy,11,1.2.36,KING,And wore us out of act. It much repairs me
Alls well that ends well,Comedy,11,1.2.37,KING,To talk of your good father. In his youth
Alls well that ends well,Comedy,11,1.2.38,KING,He had the wit which I can well observe
Alls well that ends well,Comedy,11,1.2.39,KING,"To-day in our young lords, but they may jest"
Alls well that ends well,Comedy,11,1.2.40,KING,Till their own scorn return to them unnoted
Alls well that ends well,Comedy,11,1.2.41,KING,"Ere they can hide their levity in honour,"
Alls well that ends well,Comedy,11,1.2.42,KING,"So like a courtier, contempt nor bitterness"
Alls well that ends well,Comedy,11,1.2.43,KING,"Were in his pride or sharpness, if they were,"
Alls well that ends well,Comedy,11,1.2.44,KING,"His equal had awaked them, and his honour,"
Alls well that ends well,Comedy,11,1.2.45,KING,"Clock to itself, knew the true minute when"
Alls well that ends well,Comedy,11,1.2.46,KING,"Exception bid him speak, and at this time"
Alls well that ends well,Comedy,11,1.2.47,KING,His tongue obey'd his hand: who were below him
Alls well that ends well,Comedy,11,1.2.48,KING,He used as creatures of another place
Alls well that ends well,Comedy,11,1.2.49,KING,"And bow'd his eminent top to their low ranks,"
Alls well that ends well,Comedy,11,1.2.50,KING,"Making them proud of his humility,"
Alls well that ends well,Comedy,11,1.2.51,KING,In their poor praise he humbled. Such a man
Alls well that ends well,Comedy,11,1.2.52,KING,"Might be a copy to these younger times,"
Alls well that ends well,Comedy,11,1.2.53,KING,"Which, follow'd well, would demonstrate them now"
Alls well that ends well,Comedy,11,1.2.54,KING,But goers backward.
Alls well that ends well,Comedy,12,1.2.55,BERTRAM,"His good remembrance, sir,"
Alls well that ends well,Comedy,12,1.2.56,BERTRAM,"Lies richer in your thoughts than on his tomb,"
Alls well that ends well,Comedy,12,1.2.57,BERTRAM,So in approof lives not his epitaph
Alls well that ends well,Comedy,12,1.2.58,BERTRAM,As in your royal speech.
Alls well that ends well,Comedy,13,1.2.59,KING,Would I were with him! He would always say--
Alls well that ends well,Comedy,13,1.2.60,KING,"Methinks I hear him now, his plausive words"
Alls well that ends well,Comedy,13,1.2.61,KING,"He scatter'd not in ears, but grafted them,"
Alls well that ends well,Comedy,13,1.2.62,KING,"To grow there and to bear,--'Let me not live,'--"
Alls well that ends well,Comedy,13,1.2.63,KING,"This his good melancholy oft began,"
Alls well that ends well,Comedy,13,1.2.64,KING,"On the catastrophe and heel of pastime,"
Alls well that ends well,Comedy,13,1.2.65,KING,"When it was out,--'Let me not live,' quoth he,"
Alls well that ends well,Comedy,13,1.2.66,KING,"'After my flame lacks oil, to be the snuff"
Alls well that ends well,Comedy,13,1.2.67,KING,"Of younger spirits, whose apprehensive senses"
Alls well that ends well,Comedy,13,1.2.68,KING,"All but new things disdain, whose judgments are"
Alls well that ends well,Comedy,13,1.2.69,KING,"Mere fathers of their garments, whose constancies"
Alls well that ends well,Comedy,13,1.2.70,KING,"Expire before their fashions.' This he wish'd,"
Alls well that ends well,Comedy,13,1.2.71,KING,"I after him do after him wish too,"
Alls well that ends well,Comedy,13,1.2.72,KING,"Since I nor wax nor honey can bring home,"
Alls well that ends well,Comedy,13,1.2.73,KING,"I quickly were dissolved from my hive,"
Alls well that ends well,Comedy,13,1.2.74,KING,To give some labourers room.
Alls well that ends well,Comedy,14,1.2.75,Second Lord,"You are loved, sir:"
Alls well that ends well,Comedy,14,1.2.76,Second Lord,They that least lend it you shall lack you first.
Alls well that ends well,Comedy,15,1.2.77,KING,"I fill a place, I know't. How long is't, count,"
Alls well that ends well,Comedy,15,1.2.78,KING,Since the physician at your father's died?
Alls well that ends well,Comedy,15,1.2.79,KING,He was much famed.
Alls well that ends well,Comedy,16,1.2.80,BERTRAM,"Some six months since, my lord."
Alls well that ends well,Comedy,17,1.2.81,KING,"If he were living, I would try him yet."
Alls well that ends well,Comedy,17,1.2.82,KING,"Lend me an arm, the rest have worn me out"
Alls well that ends well,Comedy,17,1.2.83,KING,"With several applications, nature and sickness"
Alls well that ends well,Comedy,17,1.2.84,KING,"Debate it at their leisure. Welcome, count,"
Alls well that ends well,Comedy,17,1.2.85,KING,My son's no dearer.
Alls well that ends well,Comedy,18,1.2.86,BERTRAM,Thank your majesty.
Alls well that ends well,Comedy,1,1.3.1,COUNTESS,"I will now hear, what say you of this gentlewoman?"
Alls well that ends well,Comedy,2,1.3.2,Steward,"Madam, the care I have had to even your content, I"
Alls well that ends well,Comedy,2,1.3.3,Steward,wish might be found in the calendar of my past
Alls well that ends well,Comedy,2,1.3.4,Steward,"endeavours, for then we wound our modesty and make"
Alls well that ends well,Comedy,2,1.3.5,Steward,"foul the clearness of our deservings, when of"
Alls well that ends well,Comedy,2,1.3.6,Steward,ourselves we publish them.
Alls well that ends well,Comedy,3,1.3.7,COUNTESS,"What does this knave here? Get you gone, sirrah:"
Alls well that ends well,Comedy,3,1.3.8,COUNTESS,the complaints I have heard of you I do not all
Alls well that ends well,Comedy,3,1.3.9,COUNTESS,"believe: 'tis my slowness that I do not, for I know"
Alls well that ends well,Comedy,3,1.3.10,COUNTESS,"you lack not folly to commit them, and have ability"
